Hour,avg. price of California electricity (cent / kWh)
1,13.33207
2,10.30388
3,8.341055
4,-1.19777
5,6.939741
6,19.20038
7,18.74519
8,20.82311
9,22.22024
10,20.09417
11,16.02372
12,25.86443
13,44.7797
14,19.73848
15,16.96634
16,19.70417
17,22.69669
18,17.11827
19,19.20142
20,21.32169
21,25.62099
22,22.51075
23,20.1111
24,18.01329
25,17.5108
26,17.98034
27,14.49724
28,12.4871
29,14.27038
30,16.93523
31,22.93695
32,28.43587
33,22.02082
34,23.34288
35,16.3999
36,10.97374
37,8.227988
38,38.86579
39,23.72724
40,13.58688
41,-0.12051
42,1.802612
43,88.2515
44,18.45176
45,21.52348
46,14.67051
47,15.17597
48,12.98627
49,11.70757
50,7.272388
51,6.413672
52,9.362787
53,12.64543
54,14.5412
55,24.23949
56,16.26564
57,9.075659
58,8.231635
59,16.92078
60,14.42063
61,6.745905
62,11.27581
63,16.73175
64,18.11705
65,19.41581
66,14.81423
67,260.5846
68,31.34486
69,40.81551
70,26.10099
71,24.0455
72,12.08703
73,10.28674
74,-5.08022
75,3.08513
76,11.023
77,14.74126
78,18.15122
79,19.04987
80,14.35372
81,14.2223
82,16.05311
83,18.27347
84,14.24712
85,15.15373
86,19.61339
87,26.88063
88,22.85849
89,27.21861
90,27.61924
91,263.6113
92,36.36654
93,27.1839
94,22.49474
95,19.91493
96,15.44826
97,18.00884
98,16.76614
99,16.87664
100,16.96954
101,19.76507
102,18.82263
103,15.15054
104,13.84944
105,12.45145
106,15.62759
107,17.14864
108,15.42495
109,19.44166
110,22.80873
111,19.3978
112,23.55457
113,422.7847
114,36.12847
115,21.82223
116,20.82733
117,32.31573
118,23.52455
119,20.47714
120,14.22226
121,10.61622
122,12.24499
123,14.35782
124,10.86849
125,14.8702
126,13.10333
127,12.34013
128,25.57471
129,17.8941
130,8.489673
131,2.502112
132,8.00333
133,7.281947
134,3.307926
135,10.31874
136,114.8076
137,28.95379
138,166.5619
139,11.52418
140,17.02809
141,21.67649
142,18.99644
143,17.22366
144,13.72437
145,14.82007
146,0.833169
147,-3.56863
148,0.680243
149,7.076986
150,10.20073
151,13.88759
152,11.0808
153,5.248833
154,1.08644
155,0.614067
156,3.146882
157,13.24904
158,13.28014
159,12.18259
160,14.74465
