Hours,Precio marginal (Cent/kWh)
1,2.233
2,1.982
3,1.965
4,1.902
5,1.906
6,1.901
7,1.976
8,2.26
9,3.116
10,3.241
11,3.241
12,3.431
13,3.521
14,3.015
15,2.901
16,3.009
17,3.077
18,3.071
19,2.96
20,2.852
21,2.768
22,2.87
23,3.009
24,2.824
25,2.057
26,1.894
27,1.86
28,1.844
29,1.844
30,1.844
31,1.928
32,2.226
33,2.848
34,2.964
35,3.109
36,3.094
37,3.179
38,3.129
39,2.784
40,2.705
41,2.904
42,3.093
43,2.992
44,2.825
45,2.776
46,2.705
47,2.757
48,2.679
49,2.705
50,2.402
51,2.129
52,1.908
53,1.89
54,1.89
55,1.89
56,1.89
57,1.898
58,2.381
59,2.705
60,2.717
61,2.641
62,2.441
63,2.433
64,2.407
65,2.366
66,2.366
67,2.399
68,2.381
69,2.415
70,2.541
71,2.537
72,2.456
73,2.403
74,2.363
75,1.608
76,1.53
77,1.439
78,1.448
79,1.433
80,1.317
81,1.338
82,1.57
83,2.158
84,2.326
85,2.31
86,2.334
87,2.204
88,2.02
89,2.028
90,1.926
91,1.976
92,1.958
93,2.33
94,2.658
95,2.694
96,2.417
97,2.172
98,1.899
99,1.825
100,1.71
101,1.651
102,1.794
103,1.902
104,2.319
105,2.889
106,3.028
107,3.089
108,3.098
109,3.173
110,3.063
111,2.872
112,2.865
113,3.015
114,3.132
115,3.027
116,2.933
117,2.822
118,2.98
119,2.826
120,2.736
121,2.356
122,1.988
123,1.916
124,1.9
125,1.9
126,1.933
127,2.027
128,2.386
129,2.953
130,3.073
131,3.201
132,3.235
133,3.41
134,3.129
135,2.953
136,2.963
137,3.09
138,3.452
139,3.123
140,2.926
141,2.834
142,3.026
143,3.03
144,2.847
145,2.204
146,1.901
147,1.893
148,1.841
149,1.841
150,1.843
151,1.904
152,2.162
153,2.825
154,3.051
155,3.129
156,3.37
157,3.911
158,3.611
159,3.093
160,3.086
161,2.998
162,3.549
163,3.03
164,2.949
165,2.83
166,2.977
167,2.857
168,2.721
169,2.313
170,1.896
171,1.891
172,1.868
173,1.843
174,1.86
175,1.9
176,2.304
177,2.797
178,2.982
179,3.069
180,3.129
181,3.129
182,3.003
183,2.822
184,2.826
185,2.977
186,3.084
187,2.997
188,2.9
189,2.831
190,2.949
191,2.992
192,2.712
193,2.104
194,1.885
195,1.846
196,1.777
197,1.777
198,1.816
199,1.871
200,2.168
201,2.714
202,2.752
203,2.876
204,2.949
205,2.901
206,2.841
207,2.752
208,2.778
209,2.946
210,2.853
211,2.756
212,2.637
213,2.552
214,2.707
215,2.752
216,2.524
217,2.524
218,2.104
219,1.897
220,1.891
221,1.851
222,1.831
223,1.83
224,1.83
225,2.036
226,2.344
227,2.329
228,2.427
229,2.536
230,2.539
231,2.104
232,2.104
233,2.104
234,2.104
235,2.104
236,2.104
237,2.104
238,2.524
239,2.607
240,2.4
241,2.649
242,2.356
243,1.681
244,1.549
245,1.457
246,1.469
247,1.424
248,1.317
249,1.367
250,1.607
251,2.253
252,2.4
253,2.387
254,2.334
255,2.308
256,2.257
257,2.173
258,2.138
259,2.155
260,2.165
261,2.292
262,2.746
263,2.93
264,2.776
265,1.897
266,1.863
267,1.811
268,1.777
269,1.717
270,1.317
271,1.893
272,2.001
273,2.552
274,2.735
275,2.848
276,2.864
277,2.831
278,2.503
279,2.365
280,2.655
281,2.674
282,2.727
283,2.431
284,2.322
285,2.319
286,2.387
287,2.674
288,2.336
289,2.162
290,1.803
291,1.678
292,1.317
293,1.317
294,1.317
295,1.778
296,2.188
297,2.879
298,2.943
299,2.9
300,2.949
301,2.959
302,2.863
303,2.685
304,2.765
305,2.854
306,2.899
307,2.8
308,2.705
309,2.64
310,2.685
311,2.885
312,2.598
313,2.161
314,1.852
315,1.79
316,1.742
317,1.692
318,1.696
319,1.905
320,2.253
321,2.544
322,2.742
323,2.919
324,2.949
325,2.949
326,2.843
327,2.697
328,2.797
329,2.909
330,2.914
331,2.725
332,2.57
333,2.611
334,2.696
335,2.742
336,2.53
337,2.203
338,1.888
339,1.777
340,1.775
341,1.75
342,1.74
343,1.917
344,2.25
345,2.677
346,2.68
347,2.771
348,2.863
349,2.873
350,2.747
351,2.568
352,2.608
353,2.771
354,2.949
355,2.813
356,2.52
357,2.584
358,2.635
359,2.705
360,2.568
361,2.164
362,1.905
363,1.8
364,1.801
365,1.765
366,1.765
367,1.921
368,2.205
369,2.83
370,2.985
371,3.086
372,3.089
373,3.069
374,2.949
375,2.641
376,2.58
377,2.756
378,2.905
379,2.805
380,2.702
381,2.641
382,2.641
383,2.949
384,2.641
385,2.669
386,2.159
387,1.876
388,1.787
389,1.787
390,1.787
391,1.759
392,1.777
393,2.125
394,2.414
395,2.698
396,2.812
397,2.812
398,2.759
399,2.506
400,2.269
401,2.357
402,2.42
403,2.434
404,2.447
405,2.43
406,2.717
407,2.667
408,2.438
409,2.602
410,2.369
411,1.554
412,1.467
413,1.359
414,1.344
415,1.317
416,1.266
417,1.317
418,1.317
419,1.936
420,2.096
421,2.159
422,2.167
423,2.126
424,1.865
425,1.923
426,1.959
427,1.958
428,1.954
429,2.287
430,2.437
431,2.662
432,2.5
433,1.973
434,1.649
435,1.317
436,1.317
437,1.317
438,1.317
439,1.659
440,1.793
441,2.445
442,2.533
443,2.808
444,2.881
445,2.81
446,2.789
447,2.625
448,2.578
449,2.732
450,2.81
451,2.75
452,2.54
453,2.548
454,2.578
455,2.706
456,2.495
457,2.115
458,1.751
459,1.61
460,1.568
461,1.568
462,1.622
463,1.781
464,2.004
465,2.502
466,2.554
467,2.885
468,2.872
469,2.83
470,2.709
471,2.605
472,2.605
473,2.668
474,2.825
475,2.73
476,2.537
477,2.502
478,2.502
479,2.537
480,2.334
481,2.227
482,1.931
483,1.813
484,1.813
485,1.813
486,1.759
487,1.86
488,2.22
489,2.925
490,3.214
491,3.283
492,3.409
493,3.57
494,3.288
495,3.283
496,3.283
497,3.378
498,3.319
499,3.283
500,3.283
501,3.093
502,3.085
503,3.283
504,2.937
505,2.217
506,1.984
507,1.849
508,1.823
509,1.819
510,1.819
511,1.915
512,2.268
513,2.928
514,3.143
515,3.283
516,3.419
517,3.419
518,3.419
519,3.283
520,3.283
521,3.419
522,3.419
523,3.283
524,3.143
525,2.917
526,3.048
527,3.143
528,2.702
529,2.215
530,1.885
531,1.881
532,1.839
533,1.823
534,1.826
535,1.875
536,2.224
537,2.211
538,2.88
539,3.089
540,3.107
541,3.319
542,3.107
543,2.86
544,2.837
545,3
546,3.107
547,3.028
548,2.893
549,2.78
550,2.784
551,2.985
552,2.384
553,2.404
554,1.71
555,1.76
556,1.671
557,1.503
558,1.317
559,1.317
560,1.365
561,1.845
562,2.013
563,2.404
564,2.404
565,2.433
566,2.435
567,2.366
568,2.297
569,2.281
570,2.378
571,2.404
572,2.393
573,2.369
574,2.625
575,2.474
576,2.404
577,2.524
578,2.158
579,1.456
580,1.317
581,1.317
582,1.317
583,1.31
584,1.237
585,1.317
586,1.446
587,2.259
588,2.404
589,2.404
590,2.366
591,2.338
592,2.233
593,2.247
594,2.25
595,2.256
596,2.236
597,2.232
598,2.623
599,2.536
600,2.524
601,2.164
602,1.851
603,1.688
604,1.567
605,1.59
606,1.691
607,1.842
608,2.221
609,2.831
610,2.956
