Hours,Precio marginal (Cent/kWh)
1,2.343
2,2.29
3,2.305
4,1.981
5,1.835
6,1.858
7,1.889
8,1.932
9,1.829
10,2
11,2.342
12,2.336
13,2.35
14,2.334
15,2.344
16,2.342
17,2.334
18,2.179
19,2.197
20,2.328
21,3.306
22,3.848
23,2.94
24,2.702
25,2.891
26,2.349
27,2.298
28,2.255
29,2.242
30,2.293
31,3.033
32,4.345
33,4.952
34,5.469
35,5.154
36,5.154
37,5.469
38,4.993
39,4.66
40,4.952
41,4.993
42,5.154
43,5.109
44,5.113
45,5.476
46,5.469
47,4.943
48,3.009
49,3.274
50,2.965
51,2.318
52,2.318
53,2.307
54,2.318
55,2.733
56,4.347
57,4.356
58,5.112
59,5.229
60,5.229
61,5.409
62,5.097
63,4.853
64,5.011
65,5.112
66,5.241
67,5.172
68,5.154
69,5.529
70,5.469
71,4.688
72,3.009
73,3.463
74,3.095
75,2.516
76,2.397
77,2.373
78,2.371
79,3.431
80,4.777
81,5.049
82,5.325
83,5.325
84,5.325
85,5.409
86,5.109
87,4.928
88,4.95
89,5.049
90,5.184
91,5.113
92,5.154
93,5.561
94,5.476
95,4.871
96,3.009
97,3.003
98,3.009
99,2.464
100,2.392
101,2.384
102,2.387
103,2.679
104,4.66
105,5.079
106,5.109
107,5.113
108,5.109
109,5.109
110,5.055
111,4.943
112,5.053
113,5.079
114,5.154
115,5.068
116,5.053
117,5.98
118,5.386
119,4.883
120,3.007
121,3.194
122,2.811
123,2.429
124,2.417
125,2.404
126,2.497
127,3.143
128,4.895
129,4.958
130,4.988
131,4.993
132,5.064
133,5.083
134,5.011
135,4.895
136,4.933
137,5.046
138,5.009
139,4.948
140,5.052
141,5.509
142,5.139
143,4.895
144,3.194
145,2.725
146,2.571
147,2.318
148,2.369
149,2.266
150,2.281
151,2.266
152,2.296
153,2.357
154,2.653
155,3.5
156,4.377
157,4.34
158,3.47
159,2.826
160,2.412
161,2.414
162,2.402
163,2.548
164,2.99
165,4.808
166,4.66
167,3.009
168,2.453
169,2.353
170,2.209
171,2.209
172,1.848
173,1.538
174,1.451
175,1.42
176,1.328
177,1.365
178,1.831
179,2.275
180,2.356
181,2.358
182,2.302
183,2.275
184,2.22
185,2.113
186,2.113
187,2.036
188,2.405
189,2.975
190,2.989
191,2.703
192,2.404
193,2.086
194,1.808
195,1.729
196,1.97
197,1.861
198,1.809
199,2.11
200,3.593
201,4.66
202,4.66
203,4.3
204,4.336
205,4.609
206,4.3
207,4.32
208,4.571
209,4.808
210,4.868
211,4.868
212,4.943
213,5.094
214,4.66
215,3.618
216,2.456
217,1.819
218,2.086
219,1.819
220,1.825
221,1.82
222,1.991
223,2.358
224,4.558
225,5.154
226,5.113
227,5.154
228,4.943
229,5.154
230,5.018
231,4.945
232,4.986
233,4.982
234,5.154
235,5.083
236,5.71
237,5.728
238,5.713
239,4.848
240,3.129
241,2.115
242,2.446
243,2.086
244,1.743
245,1.729
246,1.87
247,2.905
248,4.66
249,5.172
250,5.2
251,5.713
252,5.713
253,5.713
254,5.713
255,5.17
256,5.713
257,5.713
258,5.713
259,5.713
260,5.711
261,5.785
262,5.772
263,5.154
264,3.129
265,2.626
266,2.327
267,2.086
268,1.957
269,1.957
270,1.753
271,1.765
272,1.813
273,1.813
274,2.198
275,2.604
276,2.989
277,2.989
278,2.989
279,2.679
280,2.693
281,2.394
282,2.277
283,2.685
284,3.194
285,3.987
286,3.987
287,2.932
288,2.256
289,2.574
290,2.266
291,1.87
292,1.76
293,1.795
294,1.827
295,2.266
296,2.955
297,4.714
298,4.943
299,5.378
300,5.378
301,5.418
302,5.154
303,4.66
304,4.66
305,4.66
306,4.91
307,4.943
308,5.217
309,5.396
310,5.11
311,4.66
312,3.008
313,3.219
314,2.138
315,1.987
316,1.983
317,1.932
318,1.841
319,1.998
320,1.957
321,1.994
322,3.006
323,3.908
324,4.306
325,3.672
326,3.306
327,3.006
328,2.384
329,2.373
330,2.309
331,2.387
332,2.982
333,4.342
334,3.988
335,2.946
336,2.675
337,2.25
338,2.086
339,1.978
340,1.617
341,1.384
342,1.384
343,1.409
344,1.328
345,1.328
346,1.634
347,2.078
348,2.165
349,2.164
350,2.176
351,2.081
352,2.05
353,1.957
354,1.87
355,2.165
356,2.7
357,3.065
358,3.139
359,2.804
360,2.26
361,1.922
362,1.738
363,1.412
364,1.372
365,1.379
366,1.491
367,1.983
368,3.375
369,4.66
370,4.889
371,4.943
372,4.914
373,4.808
374,4.148
375,3.008
376,4.451
377,4.808
378,4.808
379,4.66
380,4.91
381,5.174
382,4.943
383,3.498
384,2.87
385,2.515
386,2.223
387,2.086
388,1.958
389,1.957
390,1.97
391,2.238
392,4.103
393,4.931
394,4.943
395,4.991
396,5.112
397,5.107
398,4.808
399,4.66
400,4.943
401,5.095
402,5.012
403,4.955
404,5.412
405,5.565
406,5.154
407,4.502
408,3.007
409,2.885
410,2.24
411,2.213
412,2.167
413,2.182
414,2.182
415,2.459
416,4.615
417,5.154
418,5.154
419,5.154
420,5.154
421,5.234
422,4.922
423,4.808
424,5.154
425,5.154
426,5.412
427,5.387
428,5.636
429,5.98
430,5.502
431,5.093
432,2.372
433,2.775
434,2.874
435,2.383
436,2.331
437,2.332
438,2.287
439,2.775
440,5.11
441,5.514
442,5.514
443,5.624
444,5.581
445,5.624
446,5.424
447,5.133
448,5.301
449,5.43
450,5.581
451,5.52
452,5.98
453,6.23
454,5.98
455,5.154
456,2.949
457,3.009
458,2.94
459,2.626
460,2.342
461,2.269
462,2.254
463,3.044
464,5.142
465,5.43
466,5.43
467,5.424
468,5.255
469,5.392
470,4.943
471,4.828
472,5.007
473,5.235
474,5.231
475,5.095
476,5.581
477,5.98
478,5.514
479,4.852
480,2.949
481,4.069
482,2.775
483,2.626
484,2.299
485,2.138
486,2.027
487,1.991
488,2.09
489,2.124
490,2.974
491,3.946
492,4.069
493,4.118
494,3.79
495,2.949
496,2.787
497,2.702
498,2.69
499,2.83
500,2.882
501,4.873
502,4.943
503,3.79
504,2.965
505,2.36
506,2.441
507,2.376
508,1.922
509,1.738
510,1.738
511,1.791
512,1.798
513,1.694
514,1.886
515,2.614
516,2.614
517,2.638
518,2.636
519,2.607
520,2.682
521,2.581
522,2.58
523,2.162
524,2.511
525,3.919
526,4.22
527,3.907
528,2.477
529,2.624
530,2.288
531,1.957
532,1.924
533,1.848
534,1.957
535,2.786
536,4.911
537,5.486
538,5.574
539,5.623
540,5.636
541,5.642
542,5.46
543,5.413
544,5.46
545,5.593
546,5.642
547,5.642
548,5.714
549,6.23
550,5.714
551,5.413
552,4.002
553,4.279
554,2.993
555,2.777
556,2.626
557,2.626
558,2.626
559,2.999
560,5.662
